TimeUS,terrain_z,sub_z,rf
58877000,-20.0,-9.156033428018711,10.748966571981288
58977000,-20.0,-9.160361327857114,10.744638672142885
59077000,-20.0,-9.16643487426672,10.73856512573328
59181000,-20.0,-9.1725795186765,10.7324204813235
59281000,-20.0,-9.177735948575524,10.727264051424475
59385000,-20.0,-9.183049766424336,10.721950233575663
59485000,-20.0,-9.18825307864659,10.71674692135341
59585000,-20.0,-9.193804676223364,10.711195323776636
59687000,-20.0,-9.19907812882605,10.705921871173949
59788000,-20.0,-9.201495883975271,10.703504116024728
59890000,-20.0,-9.203950583346606,10.701049416653394
59990000,-20.0,-9.206504626950991,10.698495373049008
60092000,-20.0,-9.210366792814785,10.694633207185214
60193000,-20.0,-9.214081381466745,10.690918618533255
60293000,-20.0,-9.217140770851726,10.687859229148273
60395000,-20.0,-9.220255568996858,10.684744431003141
60495000,-20.0,-9.223481521122695,10.681518478877305
60598000,-20.0,-9.228614256068308,10.676385743931691
60699000,-20.0,-9.233375754594837,10.671624245405162
60799000,-20.0,-9.235729259234622,10.669270740765377
60902000,-20.0,-9.238132783753054,10.666867216246946
61003000,-20.0,-9.240287595513964,10.664712404486036
61106000,-19.97,-9.242513362034119,10.63248663796588
61207000,-19.95,-9.244471741349532,10.610528258650467
61307000,-19.92,-9.244989370032979,10.580010629967022
61411000,-19.9,-9.245474766530219,10.55952523346978
61511000,-19.88,-9.24561538726238,10.539384612737619
61614000,-19.85,-9.245759783076888,10.509240216923112
61715000,-19.82,-9.24594299673558,10.479057003264419
61815000,-19.8,-9.246410643314457,10.458589356685543
61919000,-19.77,-9.246852247830914,10.428147752169085
62019000,-19.75,-9.247008094559867,10.407991905440133
62122000,-19.72,-9.247168409211264,10.377831590788734
62223000,-19.7,-9.247015778926038,10.357984221073961
62323000,-19.67,-9.244804768213456,10.330195231786545
62425000,-19.65,-9.242626698402992,10.312373301597006
62525000,-19.62,-9.24099564906109,10.284004350938911
62627000,-19.6,-9.239334661036644,10.265665338963357
62728000,-19.57,-9.237406207758395,10.237593792241604
62828000,-19.55,-9.232819080172021,10.222180919827979
62930000,-19.52,-9.228069436593564,10.196930563406434
63030000,-19.5,-9.222376894926418,10.182623105073581
63132000,-19.47,-9.21660289202013,10.158397107979868
63233000,-19.45,-9.210375087754839,10.14462491224516
63333000,-19.42,-9.197986847694638,10.127013152305363
63435000,-19.4,-9.185636762815168,10.11936323718483
63535000,-19.38,-9.176171214709683,10.108828785290315
63637000,-19.35,-9.166561394880269,10.088438605119732
63737000,-19.32,-9.156387495319182,10.068612504680818
63840000,-19.3,-9.137192931158188,10.067807068841812
63941000,-19.27,-9.118875336151389,10.05612466384861
64041000,-19.25,-9.104200352084035,10.050799647915964
64143000,-19.22,-9.089307782048882,10.035692217951116
64243000,-19.2,-9.074014214593449,10.03098578540655
64345000,-19.17,-9.051891572632258,10.023108427367744
64446000,-19.15,-9.030235523662139,10.02476447633786
64546000,-19.12,-9.009816620507468,10.015183379492532
64648000,-19.1,-8.98943063222313,10.015569367776871
64748000,-19.07,-8.973536284221426,10.001463715778574
64852000,-19.05,-8.95712450453153,9.99787549546847
64952000,-19.02,-8.94020106032383,9.98479893967617
65053000,-19.0,-8.913783934974234,9.991216065025766
65156000,-18.97,-8.88727177283311,9.987728227166889
65256000,-18.95,-8.866950668429011,9.988049331570988
65360000,-18.93,-8.845970194531699,9.9890298054683
65460000,-18.9,-8.824325773246265,9.980674226753733
65561000,-18.88,-8.793801964180936,9.991198035819062
65663000,-18.85,-8.763770056257131,9.99122994374287
65763000,-18.82,-8.741566231335064,9.983433768664936
65865000,-18.8,-8.718962139645457,9.986037860354543
65966000,-18.77,-8.695574045674483,9.979425954325515
66066000,-18.75,-8.662039135495913,9.992960864504086
66168000,-18.72,-8.628991893659673,9.996008106340325
66268000,-18.7,-8.607184714661761,9.997815285338238
66371000,-18.67,-8.584977456720544,9.990022543279457
66471000,-18.65,-8.562134681901716,9.992865318098282
66571000,-18.62,-8.528214408267653,9.996785591732348
66674000,-18.6,-8.49467203128193,10.010327968718071
66774000,-18.57,-8.472502237175044,10.002497762824955
66876000,-18.55,-8.449982600460451,10.005017399539549
66976000,-18.52,-8.427067454267252,9.997932545732747
67076000,-18.5,-8.395856218071637,10.009143781928362
67178000,-18.47,-8.36499279961146,10.010007200388538
67279000,-18.45,-8.343458999634752,10.011541000365247
67381000,-18.42,-8.321579331477958,10.003420668522043
67481000,-18.4,-8.299169548259767,10.00583045174023
67581000,-18.38,-8.26686408602051,10.018135913979489
67683000,-18.35,-8.234703524350477,10.020296475649523
67784000,-18.32,-8.211900476661615,10.013099523338385
67889000,-18.3,-8.188076639592772,10.016923360407228
67989000,-18.27,-8.164062382997509,10.01093761700249
68092000,-18.25,-8.129645918225528,10.025354081774472
68192000,-18.22,-8.097402255850657,10.027597744149341
68292000,-18.2,-8.075905925417079,10.02909407458292
68394000,-18.17,-8.054089902719847,10.020910097280154
68494000,-18.15,-8.031213098061533,10.023786901938465
68596000,-18.12,-7.997048177786505,10.027951822213495
68697000,-18.1,-7.963554230582266,10.041445769417734
68797000,-18.07,-7.931062171654438,10.04393782834556
68899000,-18.05,-7.8990012149092035,10.055998785090797
68999000,-18.02,-7.8778034217687,10.047196578231299
69101000,-18.0,-7.856245475129609,10.048754524870391
69202000,-17.98,-7.834173532507677,10.050826467492323
69302000,-17.95,-7.802064956775791,10.052935043224208
69404000,-17.92,-7.770305736601951,10.05469426339805
69504000,-17.9,-7.749353452526747,10.05564654747325
69606000,-17.88,-7.728052858351905,10.056947141648093
69706000,-17.85,-7.706519103323649,10.04848089667635
69807000,-17.82,-7.678301805526868,10.046698194473132
69909000,-17.8,-7.650162462581155,10.054837537418846
70009000,-17.77,-7.62934752057904,10.045652479420959
70111000,-17.75,-7.608178536538328,10.04682146346167
70212000,-17.73,-7.5864567548834385,10.04854324511656
70312000,-17.7,-7.554658336932747,10.050341663067252
70414000,-17.67,-7.523282474370751,10.05171752562925
70514000,-17.65,-7.50320990674409,10.051790093255908
70617000,-17.62,-7.482794243979953,10.042205756020048
70717000,-17.6,-7.461758074906915,10.043241925093087
70817000,-17.57,-7.429962303447096,10.045037696552905
70921000,-17.55,-7.398220165057768,10.056779834942231
71021000,-17.52,-7.376947195085086,10.048052804914912
71125000,-17.5,-7.355056805151157,10.049943194848842
71225000,-17.47,-7.332621837407124,10.042378162592874
71326000,-17.45,-7.301186793024996,10.053813206975002
71428000,-17.42,-7.270763228876949,10.054236771123053
71528000,-17.4,-7.252405522470413,10.052594477529585
71630000,-17.38,-7.233749529686892,10.051250470313105
71730000,-17.35,-7.214218697088516,10.040781302911485
71831000,-17.32,-7.184465933421988,10.040534066578012
71934000,-17.3,-7.154744807117691,10.05025519288231
72035000,-17.27,-7.133478130814911,10.041521869185088
72138000,-17.25,-7.1115775094731895,10.04342249052681
72238000,-17.22,-7.089352035539329,10.03564796446067
72342000,-17.2,-7.058363991925287,10.046636008074712
72442000,-17.17,-7.029526980371013,10.045473019628988
72542000,-17.15,-7.009311214659142,10.045688785340856
72644000,-17.12,-6.9887903796436515,10.036209620356349
72745000,-17.1,-6.967549122009365,10.037450877990635
72846000,-17.07,-6.937930793968385,10.037069206031616
72947000,-17.05,-6.908636240604473,10.046363759395527
