timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1685897955.48018408,157534461,0.4024517834186554,0.0,0.47206446528434753,0.5,-9.992225646972656,-9.96697998046875,-10.02975082397461,9.98,9.91,0.0,-6,0
1685897955.58014417,157634421,0.3927874267101288,0.0,0.41159680485725403,0.5,-9.990703582763672,-9.959965705871582,-9.826645851135254,9.98,9.89,0.0,-7,-1
1685897955.68010402,157734381,0.39591535925865173,0.0,0.40578553080558777,0.5,-9.988593101501465,-9.948752403259277,-9.9517240524292,9.98,9.870000000000001,0.0,-9,-2
1685897955.78006411,157834341,0.3933994472026825,0.0,0.3970573842525482,0.5,-9.98583698272705,-9.938971519470215,-9.918632507324219,9.98,9.84,0.0,-10,-4
1685897955.88002396,157934301,0.4046281576156616,0.0,0.4015927016735077,0.5,-9.982337951660156,-9.931840896606445,-10.18569278717041,9.98,9.81,0.0,-11,-6
1685897955.97998405,158034261,0.4660729169845581,0.0,0.4246690571308136,0.5,-9.977959632873535,-9.938481330871582,-10.183492660522461,9.98,9.76,0.0,-6,-7
1685897956.07994413,158134221,0.5936701893806458,0.0,0.5028088092803955,0.5,-9.972501754760742,-9.957005500793457,-10.10918140411377,9.98,9.74,0.0,1,-8
1685897956.17990398,158234181,0.7065739631652832,0.0,0.6348421573638916,0.5,-9.96579360961914,-9.977473258972168,-9.949997901916504,9.98,9.700000000000001,0.0,10,-5
1685897956.27986407,158334141,0.6308424472808838,0.0,0.6561739444732666,0.5,-9.95766830444336,-9.983940124511719,-9.922897338867188,9.98,9.66,0.0,16,4
1685897956.37982416,158434101,0.5754708051681519,0.0,0.6186529397964478,0.5,-9.947955131530762,-9.97189712524414,-10.036087036132812,9.98,9.66,0.0,17,13
1685897956.47978401,158534061,0.540572464466095,0.0,0.5740875601768494,0.5,-9.936580657958984,-9.95283317565918,-10.176876068115234,9.98,9.64,0.0,17,17
