,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_z,sub_z,rf
48,26536881,1685893237.479794,0.0,0.0,0.25,0.5,0.0,-2.586742401123047,-2.372464895248413,0.0,0.0,0.0,0,-61,,,
49,26636841,1685893237.579754,0.0,0.0,0.25,0.5,0.0,-2.6337883472442627,-2.733360290527344,0.0,0.0,0.0,0,-60,,,
50,26736801,1685893237.679714,0.0,0.0,0.25,0.5,0.0,-2.686945676803589,-2.648325204849243,0.0,0.0,0.0,0,-60,,,
51,26836761,1685893237.779674,0.0,0.0,0.25,0.5,0.0,-2.7452428340911865,-2.7352383136749268,0.0,0.0,0.0,0,-60,,,
52,26936721,1685893237.879634,0.0,0.0,0.25,0.5,0.0,-2.805082082748413,-2.6417179107666016,0.0,0.0,0.0,0,-60,,,
53,27036681,1685893237.979594,0.0,0.0,0.25,0.5,0.0,-2.8605797290802,-2.7194643020629883,0.0,0.0,0.0,0,-59,,,
54,27136641,1685893238.079554,0.0,0.0,0.25,0.5,0.0,-2.910489320755005,-2.7740895748138428,0.0,0.0,0.0,0,-58,,,
55,27236601,1685893238.179514,0.0,0.0,0.25,0.5,0.0,-2.956881284713745,-3.039335250854492,0.0,0.0,0.0,0,-57,,,
56,27336561,1685893238.279474,0.0,0.0,0.25,0.5,0.0,-3.009101867675781,-3.199275255203247,0.0,0.0,0.0,0,-57,,,
57,27436521,1685893238.379434,0.0,0.0,0.25,0.5,0.0,-3.0754666328430176,-3.0309414863586426,0.0,0.0,0.0,0,-58,,,
58,27536481,1685893238.479394,0.0,0.0,0.25,0.5,0.0,-3.1421337127685547,-3.0032382011413574,0.0,0.0,0.0,0,-58,,,
59,27636441,1685893238.579354,0.0,0.0,0.25,0.5,0.0,-3.2022018432617188,-3.2944157123565674,0.0,0.0,0.0,0,-58,,,
60,27736401,1685893238.679314,0.0,0.0,0.25,0.5,0.0,-3.2642316818237305,-3.283908605575561,0.0,0.0,0.0,0,-59,,,
61,27836361,1685893238.779274,0.0,0.0,0.25,0.5,0.0,-3.329765796661377,-3.2711775302886963,0.0,0.0,0.0,0,-59,,,
62,27936321,1685893238.879234,0.0,0.0,0.25,0.5,0.0,-3.393341064453125,-3.258599281311035,0.0,0.0,0.0,0,-59,,,
63,28037114,1685893238.9800267,0.0,0.0,0.25,0.5,0.0,-3.4505019187927246,-3.3408920764923096,0.0,0.0,0.0,0,-59,,,
64,28137074,1685893239.079987,0.0,0.0,0.25,0.5,0.0,-3.503098487854004,-3.348433494567871,0.0,0.0,0.0,0,-58,,,
65,28237034,1685893239.1799471,0.0,0.0,0.25,0.5,0.0,-3.55100154876709,-3.419560670852661,0.0,0.0,0.0,0,-57,,,
66,28336994,1685893239.2799067,0.0,0.0,0.25,0.5,0.0,-3.595798254013061,-3.454941749572754,0.0,0.0,0.0,0,-56,,,
67,28436954,1685893239.379867,0.0,0.0,0.25,0.5,0.0,-3.637994289398194,-3.5530779361724854,0.0,0.0,0.0,0,-55,,,
68,28536914,1685893239.4798272,0.0,0.0,0.25,0.5,0.0,-3.680479288101196,-3.666893243789673,0.0,0.0,0.0,0,-54,,,
69,28636874,1685893239.579787,0.0,0.0,0.25,0.5,0.0,-3.726910352706909,-3.728945255279541,0.0,0.0,0.0,0,-53,,,
70,28736834,1685893239.679747,0.0,0.0,0.25,0.5,0.0,-3.777132749557495,-4.06535005569458,0.0,0.0,0.0,0,-53,,,
71,28836794,1685893239.7797067,0.0,0.0,0.25,0.5,0.0,-3.841894388198853,-3.854431629180908,0.0,0.0,0.0,0,-54,,,
72,28936754,1685893239.879667,0.0,0.0,0.25,0.5,0.0,-3.9116463661193848,-4.033470153808594,0.0,0.0,0.0,0,-55,,,
73,29036714,1685893239.9796271,0.0,0.0,0.25,0.5,0.0,-3.98382306098938,-4.188239097595215,0.0,0.0,0.0,0,-56,,,
74,29136674,1685893240.0795867,0.0,0.0,0.25,0.5,0.0,-4.066357135772705,-3.980938196182251,0.0,0.0,0.0,0,-58,,,
75,29236634,1685893240.179547,0.0,0.0,0.25,0.5,0.0,-4.140810012817383,-4.372872352600098,0.0,0.0,0.0,0,-59,,,
76,29336594,1685893240.2795072,0.0,0.0,0.25,0.5,0.0,-4.220085144042969,-4.137538909912109,0.0,0.0,0.0,0,-61,,,
77,29436554,1685893240.379467,0.0,0.0,0.25,0.5,0.0,-4.2971673011779785,-4.410721302032471,0.0,0.0,0.0,0,-62,,,
78,29536514,1685893240.479427,0.0,0.0,0.25,0.5,0.0,-4.374092102050781,-4.207534313201904,0.0,0.0,0.0,0,-63,,,
79,29636474,1685893240.5793867,0.0,0.0,0.25,0.5,0.0,-4.44459342956543,-4.605236530303955,0.0,0.0,0.0,0,-63,,,
80,29736434,1685893240.679347,0.0,0.0,0.25,0.5,0.0,-4.517602920532227,-4.531810283660889,0.0,0.0,0.0,0,-64,,,
81,29836394,1685893240.7793071,0.0,0.0,0.25,0.5,0.0,-4.595180988311768,-4.702175617218018,0.0,0.0,0.0,0,-65,,,
82,29936354,1685893240.8792667,0.0,0.0,0.25,0.5,0.0,-4.675105094909668,-4.5408711433410645,0.0,0.0,0.0,0,-66,,,
83,30036314,1685893240.979227,0.0,0.0,0.25,0.5,0.0,-4.749321937561035,-4.738752365112305,0.0,0.0,0.0,0,-66,,,
84,30137107,1685893241.08002,0.0,0.0,0.25,0.5,0.0,-4.820663928985596,-4.743347644805908,0.0,0.0,0.0,0,-67,,,
85,30237067,1685893241.17998,0.0,0.0,0.25,0.5,0.0,-4.889125823974609,-4.792582035064697,0.0,0.0,0.0,0,-67,,,
86,30337027,1685893241.27994,0.0,0.0,0.25,0.5,0.0,-4.954395771026611,-4.7049241065979,0.0,0.0,0.0,0,-67,,,
87,30436987,1685893241.3799,0.0,0.0,0.25,0.5,0.0,-5.0103020668029785,-5.044873237609863,0.0,0.0,0.0,0,-66,,,
88,30536947,1685893241.47986,0.0,0.0,0.25,0.5,0.0,-5.070141792297363,-4.909324645996094,0.0,0.0,0.0,0,-65,,,
89,30636907,1685893241.57982,0.0,0.0,0.25,0.5,0.0,-5.127736568450928,-5.140624046325684,0.0,0.0,0.0,0,-65,,,
90,30736867,1685893241.67978,0.0,0.0,0.25,0.5,0.0,-5.188822746276856,-4.944218158721924,0.0,0.0,0.0,0,-65,,,
91,30836827,1685893241.77974,0.0,0.0,0.25,0.5,0.0,-5.242942333221436,-5.351886749267578,0.0,0.0,0.0,0,-64,,,
92,30936787,1685893241.8797,0.0,0.0,0.25,0.5,0.0,-5.305014133453369,-5.340546131134033,0.0,0.0,0.0,0,-64,,,
93,31036747,1685893241.97966,0.0,0.0,0.25,0.5,0.0,-5.373271465301514,-5.433815956115723,0.0,0.0,0.0,0,-64,,,
94,31136707,1685893242.07962,0.0,0.0,0.25,0.5,0.0,-5.445748329162598,-5.2444987297058105,0.0,0.0,0.0,0,-65,,,
95,31236667,1685893242.17958,0.0,0.0,0.25,0.5,0.0,-5.512180805206299,-5.589303970336914,0.0,0.0,0.0,0,-65,,,
96,31336627,1685893242.27954,0.0,0.0,0.25,0.5,0.0,-5.57959508895874,-5.393929481506348,0.0,0.0,0.0,0,-65,,,
97,31436587,1685893242.3795,0.0,0.0,0.25,0.5,0.0,-5.64343786239624,-5.719171524047852,0.0,0.0,0.0,0,-65,,,
98,31536547,1685893242.47946,0.0,0.0,0.25,0.5,0.0,-5.709359169006348,-5.645905017852783,0.0,0.0,0.0,0,-65,,,
99,31636507,1685893242.57942,0.0,0.0,0.25,0.5,0.0,-5.776969909667969,-5.6919426918029785,0.0,0.0,0.0,0,-66,,,
100,31736467,1685893242.67938,0.0,0.0,0.25,0.5,0.0,-5.841733932495117,-5.872701644897461,0.0,0.0,0.0,0,-65,,,
101,31836427,1685893242.77934,0.0,0.0,0.25,0.5,0.0,-5.909029483795166,-5.968154430389404,0.0,0.0,0.0,0,-66,,,
102,31936387,1685893242.8793,0.0,0.0,0.25,0.5,0.0,-5.981347560882568,-5.950415134429932,0.0,0.0,0.0,0,-66,,,
103,32036347,1685893242.97926,0.0,0.0,0.25,0.5,0.0,-6.054449558258057,-5.998514652252197,0.0,0.0,0.0,0,-67,,,
104,32137140,1685893243.080053,0.0,0.0,0.25,0.5,0.0,-6.125360488891602,-6.056242942810059,0.0,0.0,0.0,0,-67,,,
105,32237100,1685893243.1800127,0.0,0.0,0.25,0.5,0.0,-6.193757057189941,-5.875533103942871,0.0,0.0,0.0,0,-67,,,
106,32337060,1685893243.279973,0.0,0.0,0.25,0.5,0.0,-6.248955726623535,-6.1783952713012695,0.0,0.0,0.0,0,-66,,,
107,32437020,1685893243.379933,0.0,0.0,0.25,0.5,0.0,-6.302656650543213,-6.233125686645508,0.0,0.0,0.0,0,-65,,,
108,32536980,1685893243.4798927,0.0,0.0,0.25,0.5,0.0,-6.358527660369873,-6.384071350097656,0.0,0.0,0.0,0,-65,,,
109,32636940,1685893243.579853,0.0,0.0,0.25,0.5,0.0,-6.420131683349609,-6.218060493469238,0.0,0.0,0.0,0,-64,,,
110,32736900,1685893243.6798131,0.0,0.0,0.25,0.5,0.0,-6.47556209564209,-6.223910331726074,0.0,0.0,0.0,0,-64,,,
111,32836860,1685893243.779773,0.0,0.0,0.25,0.5,0.0,-6.522980690002441,-6.283675670623779,0.0,0.0,0.0,0,-62,,,
112,32936820,1685893243.879733,0.0,0.0,0.25,0.5,0.0,-6.563175678253174,-6.464702606201172,0.0,0.0,0.0,0,-61,,,
113,33036780,1685893243.9796932,0.0,0.0,0.25,0.5,0.0,-6.604821681976318,-6.658803462982178,0.0,0.0,0.0,0,-59,,,
114,33136740,1685893244.079653,0.0,0.0,0.25,0.5,0.0,-6.655093193054199,-6.570904731750488,0.0,0.0,0.0,0,-59,,,
115,33236700,1685893244.179613,0.0,0.0,0.25,0.5,0.0,-6.70739221572876,-6.868012428283691,0.0,0.0,0.0,0,-58,,,
116,33336660,1685893244.2795727,0.0,0.0,0.25,0.5,0.0,-6.77015495300293,-6.899710655212402,0.0,0.0,0.0,0,-59,,,
