timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1686415757.28020215,128334479,0.8342279195785522,0.0,0.8238747119903564,0.5,-6.499527454376221,-6.512702941894531,-6.648972988128662,10.370000000000001,8.55,0.0,85,85
1686415757.38016200,128434439,0.8243628144264221,0.0,0.8154851794242859,0.5,-6.419956207275391,-6.434426784515381,-6.55897331237793,10.370000000000001,8.63,0.0,82,83
1686415757.48012209,128534399,0.812275767326355,0.0,0.8047869205474854,0.5,-6.343316555023193,-6.357082843780518,-6.497562408447266,10.370000000000001,8.72,0.0,79,80
1686415757.58008194,128634359,0.8009459972381592,0.0,0.7928255200386047,0.5,-6.269608020782471,-6.282341003417969,-6.427957534790039,10.370000000000001,8.84,0.0,76,77
1686415757.68004203,128734319,0.7901196479797363,0.0,0.7815874814987183,0.5,-6.1988325119018555,-6.211117267608643,-6.327563762664795,10.370000000000001,8.96,0.0,73,74
1686415757.78000212,128834279,0.7773593068122864,0.0,0.7701169848442078,0.5,-6.13101053237915,-6.1417388916015625,-6.263383388519287,10.370000000000001,9.040000000000001,0.0,69,71
1686415757.87996197,128934239,0.7636318206787109,0.0,0.7571344971656799,0.5,-6.0661396980285645,-6.075263023376465,-6.190532684326172,10.370000000000001,9.120000000000001,0.0,66,68
1686415757.97992206,129034199,0.7493346333503723,0.0,0.7434473037719727,0.5,-6.004223823547363,-6.011390209197998,-6.1083245277404785,10.370000000000001,9.18,0.0,62,65
1686415758.07988214,129134159,0.7260536551475525,0.0,0.727315366268158,0.5,-5.9452667236328125,-5.949729919433594,-6.049124717712402,10.370000000000001,9.290000000000001,0.0,58,62
1686415758.17984200,129234119,0.7050994634628296,0.0,0.7082194685935974,0.5,-5.889460563659668,-5.89077091217041,-6.00690221786499,10.370000000000001,9.39,0.0,54,58
1686415758.27980208,129334079,0.6926780343055725,0.0,0.6894863247871399,0.5,-5.837082386016846,-5.836047649383545,-5.92832088470459,10.370000000000001,9.450000000000001,0.0,50,54
1686415758.37976217,129434039,0.6831345558166504,0.0,0.6744996905326843,0.5,-5.788209438323975,-5.78515625,-5.885735034942627,10.370000000000001,9.52,0.0,46,50
1686415758.47972202,129533999,0.6624371409416199,0.0,0.6585528254508972,0.5,-5.742597579956055,-5.737802028656006,-5.844060897827148,10.370000000000001,9.58,0.0,42,47
1686415758.57968211,129633959,0.6587005853652954,0.0,0.645400881767273,0.5,-5.700141429901123,-5.694399833679199,-5.78588342666626,10.370000000000001,9.67,0.0,39,43
1686415758.67964196,129733919,0.6396802663803101,0.0,0.6336970329284668,0.5,-5.660563945770264,-5.654199123382568,-5.746474742889404,10.370000000000001,9.76,0.0,36,40
1686415758.77960205,129833879,0.6250302791595459,0.0,0.619832456111908,0.5,-5.623757362365723,-5.616745471954346,-5.710396766662598,10.370000000000001,9.81,0.0,33,37
1686415758.88039517,129934672,0.6097428202629089,0.0,0.6044561266899109,0.5,-5.589466571807861,-5.581955909729004,-5.656728267669678,10.370000000000001,9.870000000000001,0.0,30,34
1686415758.98035502,130034632,0.5916951894760132,0.0,0.5890503525733948,0.5,-5.558309555053711,-5.5498504638671875,-5.612412452697754,10.370000000000001,9.92,0.0,27,31
1686415759.08031511,130134592,0.5760259032249451,0.0,0.5712302327156067,0.5,-5.529980659484863,-5.519501686096191,-5.604038715362549,10.370000000000001,10.0,0.0,23,28
1686415759.18027496,130234552,0.5508546233177185,0.0,0.5515398979187012,0.5,-5.504267692565918,-5.491942405700684,-5.56568717956543,10.370000000000001,10.06,0.0,20,26
1686415759.28023505,130334512,0.5283162593841553,0.0,0.5295356512069702,0.5,-5.481091499328613,-5.467283248901367,-5.552616596221924,10.370000000000001,10.1,0.0,17,23
1686415759.38019514,130434472,0.5057902932167053,0.0,0.5080989599227905,0.5,-5.46044921875,-5.445950031280518,-5.541785717010498,10.370000000000001,10.14,0.0,15,20
